Label;Category;Country;Rating;Raters;Price;Sugar
Botran Solera 1893;Aged;Guatemala;7,2;69;44,25;7
Brinley Gold Coconut;Flavored;St. Kitts;8,1;11;NA;
Brinley Gold Shipwreck Spiced;Spiced;St. Kitts;7,2;38;31,36;
Brugal 1888;Gold;Dominican Republic;7,7;87;72,54;12
Brugal Anejo;Gold;Dominican Republic;5,8;100;38,04;0
Brugal Anejo Reserva;Gold;Dominican Republic;6;22;NA;7
Brugal Especial Extra Dry;Gold;Dominican Republic;5,8;17;NA;0
Brugal Extra Viejo;Aged;Dominican Republic;5,9;52;30,77;0
Brugal Extra Viejo Reserva;Aged;Dominican Republic;6,6;28;20,15;0
Brugal Siglo de Oro;Aged;Dominican Republic;8,1;35;125,44;8
Brugal XV;Aged;Dominican Republic;5,8;28;21,02;11
Bundaberg Original UP;Gold;Australia;3,5;32;NA;NA
Bundaberg Overproof;Overproof;Australia;4,1;10;43,91;NA
Cacique 500 Gran Reserva;Aged;Venezuela;6,9;31;21,25;NA
Cacique Anejo Superior;Gold;Venezuela;5,9;14;14,81;0
Cacique Antiguo;Gold;Venezuela;8,3;10;NA;
Caliche Light;Light;Puerto Rico;4,5;10;NA;
Caney Anejo Centuria;Aged;Cuba;7,2;20;NA;
Capitan Bucanero 7-Year;NA;Dominican Republic;6,9;22;NA;
Captain Morgan 100;Spiced;Puerto Rico;4,9;60;NA;
Captain Morgan 1671;Spiced;Puerto Rico;7,7;43;80,02;
Captain Morgan Black Spiced;Spiced;Puerto Rico;6,3;106;20,74;
Captain Morgan Cannon Blast;Spiced;Puerto Rico;5,6;35;NA;
Captain Morgan Coconut;Spiced;Puerto Rico;4,3;9;NA;
Captain Morgan Dark;Spiced;Puerto Rico;4,7;139;NA;
Captain Morgan Lime Bite;Flavored;Puerto Rico;5,4;11;NA;
Captain Morgan Limited Edition;Spiced;Puerto Rico;7,1;19;NA;
Captain Morgan Original Spiced Gold;Spiced;Puerto Rico;4,4;18;NA;21
Captain Morgan Parrot Bay;Flavored;Puerto Rico;5,4;43;NA;
Captain Morgan Private Stock;Gold;Puerto Rico;6,8;140;NA;45
Captain Morgan Spiced;Spiced;Puerto Rico;5,3;236;14,56;
Captain Morgan Tatoo;Dark;Puerto Rico;5,1;32;NA;
Captain Morgan White;Light;Puerto Rico;4,8;47;NA;0
Caroni 12-Year;Aged;Trinidad;8;28;52,27;0
Caroni 15-Year;Aged;Trinidad;8,2;18;101,98;0
Cartavio 12-Year;Aged;Peru;7,4;10;55,75;8
Cartavio XO;Aged;Peru;8,5;59;89,8;29
Castillo Silver;Light;Puerto Rico;5,3;10;NA;
Centenario 12-Year;Aged;Costa Rica;6,6;19;41;
Centenario 20-Year;Aged;Costa Rica;8,3;113;59,81;
Centenario 25-Year;Aged;Costa Rica;8,9;46;87,11;
Centenario 30-Year;Aged;Costa Rica;8,7;26;197,46;44
Centenario 7-Year;Aged;Costa Rica;6,7;15;26,09;
Centenario 9-Year;Aged;Costa Rica;6,8;12;34,87;
Centenario XX;Aged;Costa Rica;9;14;NA;
Chairmans Reserve;Aged;St. Lucia;6,7;51;34,09;0
Chairmans Reserve Spiced;Spiced;St. Lucia;7,3;40;NA;41
Chairmans The Forgotten Cask;Aged;St. Lucia;7;13;NA;0
Charrette Blanc;Light;Reunion;4,8;9;NA;
Clement 10-Year;Aged;Martinique;6,8;16;92,92;
Clement 6-Year Rhum;Rhum Agricole;Martinique;6,2;15;NA;0
Clement Blanc;Light;Martinique;6,4;21;22,69;0
Clement Canna Bleue Rhum;Rhum Agricole;Martinique;7,9;14;NA;
Clement Creole Shrub;Flavored;Martinique;7,1;18;34,31;
Clement Cuvee Homere Rhum;Rhum Agricole;Martinique;7,4;16;99,4;
Clement Single Cask;Rhum Agricole;Martinique;8,3;13;67,75;
Clement Vieux Rhum;Rhum Agricole;Martinique;5,6;26;NA;
Clement VSOP Rhum;Rhum Agricole;Martinique;6,4;60;38,24;
Clement XO Rhum;Rhum Agricole;Martinique;8,3;18;NA;
Cockspur 5 Star Fine;Gold;Barbados;5,8;25;NA;0
Cockspur VSOR 12-Year;Aged;Barbados;7,1;36;32,86;0
Coruba Original;Spiced;Jamaica;6,9;15;NA;0
Cruzan 9 Spiced;Spiced;US Virgin Islands;6,3;28;NA;
Cruzan Banana;Flavored;US Virgin Islands;5,2;10;NA;
Cruzan Black Strap;Dark;US Virgin Islands;6,1;48;NA;
Cruzan Coconut;Flavored;US Virgin Islands;5,5;22;NA;
Cruzan Gold;Gold;US Virgin Islands;6,5;36;NA;
Cruzan Light;Light;US Virgin Islands;6,1;29;NA;
Cruzan Single Barrel;Aged;US Virgin Islands;7,2;61;65,07;0
Cubaney Centenario 25-30 Year;Aged;Dominican Republic;9,2;13;NA;22
Cubaney Exquisito 21-Year;Aged;Dominican Republic;7,9;14;57,06;
Cubaney Gran Reserva 25-Year;Spiced;Dominican Republic;8,2;14;69,29;
Damoiseau Blanc 50% Rhum;Aged;Guadeloupe;7,2;19;NA;0
de Jeremy Spiced;Aged;Panama;6,3;28;27,24;
de Jeremy The Adult;Aged;Panama;6,3;26;NA;
de Jeremy XO 15-Year;Aged;Panama;7,6;28;NA;
Deadhead Aged;Aged;Mexico;5,8;24;58,19;
Del Barrilito 3 Star;Aged;Puerto Rico;7,8;64;68,3;
Dictador 12-Year;Aged;Colombia;7,2;99;41,44;0
Dictador 20-Year;Aged;Colombia;7,1;88;59,3;0
Dictador XO Insolent;Aged;Colombia;8,4;42;101,43;4
Dictador XO Perpetual;Aged;Colombia;8,5;23;101,43;3
Dillon Blanc 50% Rhum;Light;Martinique;5,7;14;NA;0
Dillon Blanc 55 Rhum;Rhum Agricole;Martinique;5,5;10;NA;0
Dillon Tres Vieux;Gold;Martinique;5,8;9;NA;3
Diplomatico 2000 Single Vintage;Aged;Venezuela;9,2;78;103,49;24
Diplomatico 2001 Single Vintage;Aged;Venezuela;8,6;51;NA;24
Diplomatico 2002 Single Vintage;Aged;Venezuela;8,5;12;NA;
Diplomatico Anejo;Gold;Venezuela;6,3;77;21,32;
Diplomatico Ambassador Selection;Aged;Venezuela;9;75;203,2;24
Diplomatico Blanco;Light;Venezuela;7,3;29;NA;
Diplomatico Liqueur de Rhum;Flavored;Venezuela;6,1;14;NA;
Diplomatico Reserva;Aged;Venezuela;6,8;186;34,16;9
Diplomatico Reserva Exclusiva;Aged;Venezuela;8,2;671;35,36;30
Don Pancho Origenes 18-Year Reserva Especial;Aged;Panama;8;18;NA;
Don Papa 10-Year;Aged;Philippines;6,5;49;NA;
Don Papa Small Batch;Aged;Philippines;6,1;222;43,43;26
Don Q Anejo;Aged;Puerto Rico;6,6;16;NA;0
Don Q Cristal;Light;Puerto Rico;6,5;23;NA;0
Don Q Gold;Gold;Puerto Rico;5,4;17;NA;0
Don Q Gran Anejo;Aged;Puerto Rico;7,3;47;NA;0
Don Q Limon;Flavored;Puerto Rico;7,3;9;NA;
Doorlys 12-Year;Aged;Barbados;8,2;21;NA;0
Doorlys 5-Year;Gold;Barbados;6,8;20;NA;0
Doorlys XO;Aged;Barbados;7,2;78;NA;0
Dos Maderas 5+3;Aged;Barbados;6,5;28;41,46;
Dos Maderas Luxus;Aged;Barbados;8,8;39;140,89;39
Dos Maderas PX 5x5;Aged;Barbados;7,7;190;51,68;36
El Dorado 12-Year;Aged;Guyana;8;382;33,05;37
El Dorado 15-Year Special Reserve;Aged;Guyana;8,2;294;48,15;35
El Dorado 21-Year;Aged;Guyana;8,6;153;96,81;25
El Dorado 25-Year 1980 Vintage;Aged;Guyana;9,8;9;NA;51
El Dorado 3-Year;Light;Guyana;6,3;26;19,86;
El Dorado 5-Year;Gold;Guyana;6,4;57;22,64;12
El Dorado 8-Year;Aged;Guyana;7;76;22,83;11
El Dorado Dark;Dark;Guyana;5,9;20;13,97;
El Dorado Superior White;Light;Guyana;5,9;12;13,41;
El Prohibido 12-Year;Aged;Mexico;4,9;36;27,17;
Elements 8 Gold;Gold;St. Lucia;6,7;11;NA;0
English Harbour 10-Year;Aged;Antigua;7,8;15;NA;
English Harbour 1981;Aged;Antigua;8,7;14;NA;12
English Harbour 5-Year;Aged;Antigua;6,8;59;NA;15
Esclavo 15-Year;Aged;Dominican Republic;7,5;17;NA;
Esclavo XO;Aged;Dominican Republic;8,7;32;NA;48
Esclavo XO Cask;Aged;Dominican Republic;8,7;26;NA;
Flor de Cana 12-Year;Aged;Nicaragua;7,1;136;22,94;0
Flor de Cana 18-Year;Aged;Nicaragua;7,6;130;NA;8
Flor de Cana 25-Year;Aged;Nicaragua;8,8;26;127,77;
Flor de Cana Anejo Clasico 5-Year;Light;Nicaragua;5,8;16;11,44;0
Flor de Cana Anejo Oro 4-Year;Gold;Nicaragua;8,1;9;NA;
Flor de Cana Black label 5;Aged;Nicaragua;6,2;19;11,32;
Flor de Cana Centenario 21;Aged;Nicaragua;7,4;14;78,98;
Flor de Cana Extra Dry 4;Light;Nicaragua;6,8;25;16;
Flor de Cana Gold 4;Gold;Nicaragua;6,3;27;10,39;
Flor de Cana Gran Reserve 7;Aged;Nicaragua;6,7;103;14,64;0
Foursquare 9-Year Port Cask Finish;Aged;Barbados;8,2;27;NA;0
Foursquare Spiced;Spiced;Barbados;6,7;27;30,79;
Gold of Mauritius Dark;Dark;Mauritius;7;34;NA;
Goslings 151;Overproof;Bermuda;6,9;20;32,86;
Goslings Black Seal;Dark;Bermuda;6,6;155;44,25;14
Goslings Family Reserve Old;Aged;Bermuda;8;67;92,91;15
Goslings Gold;Gold;Bermuda;5,9;15;NA;
