Label;Category;Country;Rating;Raters;Price;Sugar
Thomas Tew Authentic;Gold;USA;7,9;14;NA;
Tommy Bahama Golden Sun;Gold;Barbados;5,8;13;NA;
Tommy Bahama White Sands;Light;Barbados;6,5;10;NA;
Trigo Reserva Aneja;Aged;Puerto Rico;7,2;9;61,21;
Trois Rivires Blanc Rhum;Rhum Agricole;Martinique;6,3;30;NA;
Trois Rivires VSOP;Aged;Martinique;6,6;13;NA;
UNHIQ XO;Aged;Dominican Republic;9,2;31;117,41;
Varadero Aejo 7-Year;Aged;Cuba;6,5;21;NA;
Viejo de Caldas 3-Year;Gold;Colombia;5,4;12;13,01;0
Vizcaya VXOP 21;Aged;Dominican Republic;8,1;74;60,95;28
Westerhall Plantation;Gold;Grenada;7,5;11;40,46;8
Whalers Original Dark;Dark;USA;7;12;27,51;
Woods 100 Old Navy;Dark;Guyana;7;20;NA;
Wray & Nephew White Overproof;Overproof;Jamaica;6,6;36;33,1;
Zacapa 23 Black Label;Aged;Guatemala;9,1;14;NA;44
Zacapa 23 Solera;Aged;Guatemala;7,7;687;46,4;30
Zacapa 30 Aniversario;Aged;Guatemala;9;29;NA;
Zacapa Centenario 15;Aged;Guatemala;7,3;64;63,42;
Zacapa Centenario 23;Aged;Guatemala;8,9;23;NA;38
Zacapa Etiqueta Negra;Aged;Guatemala;8,1;34;92,46;
Zacapa Reserva Limitada 2013;Aged;Guatemala;8;14;85,65;17
Zacapa Reserva Limitada 2014;Aged;Guatemala;7,9;35;NA;
Zacapa Reserva Limitada 2015;Aged;Guatemala;8,3;14;148,91;
Zacapa Straight from the Cask Special Edition;Aged;Guatemala;9,3;26;NA;
Zacapa XO;Aged;Guatemala;8,8;265;86,76;26
Zafra Master Reserve 21;Aged;Panama;8,5;84;54,82;
Zaya Gran Reserva;Aged;Trinidad;7,7;281;52,79;20
